Q	#up	#dn	#all
F_339	8	8	8
F_340	3	3	3
F_341	9	9	9
F_342	6	6	6
F_343	3	3	3
F_344	12	12	12
F_345	6	6	6
F_346	12	12	12
F_347	8	8	24
F_348	8	8	48
F_349	9	9	9
F_350	3	3	3
F_351	6	6	6
F_352	9	9	9
F_353	3	3	3
F_354	6	6	6
F_355	9	9	9
F_356	6	6	6
F_357	6	6	6
F_358	3	3	3
F_359	6	6	6
F_360	6	6	6
F_361	6	6	6
F_362	3	3	3
F_363	6	6	6
F_364	6	6	6
F_365	6	6	6
F_366	6	6	6
F_367	6	6	6
F_368	6	6	6
F_369	3	3	3
F_370	6	6	6
F_371	9	9	9
F_372	3	3	3
F_373	6	6	6
F_374	9	9	9
F_375	3	3	3
F_376	6	6	6
F_377	9	9	9
F_378	3	3	3
F_379	6	6	6
F_380	3	3	3
F_381	6	6	6
F_382	3	3	3
F_383	6	6	6
F_384	9	9	9
F_385	6	6	6
F_386	12	12	12
F_387	3	3	3
F_388	6	6	6
F_389	9	9	9
F_390	6	6	6
F_391	12	12	12
F_392	3	3	3
F_393	6	6	6
F_394	9	9	9
F_395	6	6	6
F_396	12	12	12
F_397	3	3	3
F_398	6	6	6
F_399	9	9	9
F_400	3	3	3
F_401	6	6	6
F_402	9	9	9
F_403	3	3	3
F_404	6	6	6
F_405	9	9	9
F_406	6	6	6
F_407	12	12	12
F_408	3	3	3
F_409	6	6	6
F_410	6	6	6
F_411	3	3	3
F_412	6	6	6
F_413	6	6	6
F_414	6	6	6
F_415	16	16	16
F_416	8	8	24
F_417	16	16	48
F_418	4	4	4
F_419	4	4	4
F_420	8	8	8
F_421	4	4	4
F_422	8	8	8
F_423	4	4	4
F_424	8	8	8
F_425	4	4	4
F_426	4	4	4
F_427	8	8	8
F_428	4	4	4
F_429	4	4	4
F_430	4	4	4
F_431	6	6	6
F_432	4	4	4
F_433	12	12	12
F_434	4	4	4
F_435	4	4	4
F_436	2	2	2
F_437	4	4	4
F_438	6	6	6
F_439	12	12	12
F_440	8	8	8
F_441	8	8	8
F_442	4	4	4
F_443	4	4	4
F_444	8	8	8
F_445	8	8	8
F_446	4	4	4
F_447	4	4	4
F_448	4	4	4
F_449	8	8	8
F_450	4	4	4
F_451	8	8	8
F_452	4	4	4
F_453	8	8	8
F_454	8	8	8
F_455	4	4	4
F_456	8	8	8
F_457	4	4	4
F_458	8	8	8
F_459	4	4	4
F_460	8	8	8
F_461	4	4	4
F_462	4	4	4
F_463	8	8	8
F_464	4	4	4
F_465	8	8	8
F_466	4	4	4
F_467	8	8	8
F_468	4	4	4
F_469	8	8	8
F_470	8	8	8
F_471	8	8	8
F_472	4	4	4
F_473	4	4	4
F_474	8	8	8
F_475	8	8	8
F_476	4	4	4
F_477	4	4	4
F_478	4	4	4
F_479	4	4	4
F_480	8	8	8
F_481	4	4	4
F_482	8	8	8
F_483	4	4	4
F_484	8	8	8
F_485	4	4	4
F_486	8	8	8
F_487	8	8	8
F_488	8	8	8
F_489	8	8	8
F_490	8	8	8
F_491	16	16	16
F_492	6	6	6
F_493	6	6	6
F_494	8	8	48
F_495	8	8	24
F_496	16	16	48
F_497	16	16	48
F_498	6	6	6
F_499	6	6	6
F_500	6	6	6
F_501	6	6	6
F_502	6	6	6
F_503	6	6	6
F_504	6	6	6
F_505	6	6	6
F_506	6	6	6
F_507	6	6	6
F_508	6	6	6
F_509	6	6	6
F_510	6	6	6
F_511	6	6	6
F_512	6	6	6
F_513	6	6	6
F_514	6	6	6
F_515	24	24	24
F_516	6	6	6
F_517	6	6	6
F_518	6	6	6
F_519	6	6	6
F_520	6	6	6
F_521	6	6	6
F_522	6	6	6
F_523	6	6	6
F_524	6	6	6
F_525	6	6	6
F_526	6	6	6
F_527	6	6	6
F_528	6	6	6
F_529	6	6	6
F_530	6	6	6
F_531	6	6	6
F_532	6	6	6
F_533	6	6	6
F_534	6	6	6
F_535	6	6	6
F_536	6	6	6
F_537	6	6	6
F_538	6	6	6
F_539	6	6	6
F_540	6	6	6
F_541	6	6	6
F_542	6	6	6
F_543	6	6	6
F_544	6	6	6
F_545	6	6	6
F_546	6	6	6
F_547	6	6	6
F_548	6	6	6
F_549	6	6	6
F_550	6	6	6
F_551	6	6	6
F_552	6	6	6
F_553	6	6	6
F_554	6	6	6
F_555	6	6	6
F_556	6	6	6
F_557	6	6	6
F_558	6	6	6
F_559	6	6	6
F_560	6	6	6
F_561	6	6	6
F_562	8	8	8
F_563	8	8	8
F_564	8	8	8
F_565	8	8	8
F_566	16	16	48
F_567	8	8	48
F_568	9	9	9
F_569	9	9	9
F_570	6	6	6
F_571	6	6	6
F_572	6	6	6
F_573	6	6	6
F_574	12	12	12
F_575	6	6	6
F_576	6	6	6
F_577	12	12	12
F_578	6	6	6
F_579	6	6	6
F_580	12	12	12
F_581	6	6	6
F_582	6	6	6
F_583	6	6	6
F_584	6	6	6
F_585	12	12	12
F_586	12	12	12
F_587	6	6	6
F_588	12	12	12
F_589	6	6	6
F_590	12	12	12
F_591	6	6	6
F_592	12	12	12
F_593	12	12	12
F_594	12	12	12
F_595	12	12	12
F_596	6	6	6
F_597	6	6	6
F_598	6	6	6
F_599	12	12	12
F_600	12	12	12
F_601	12	12	12
F_602	6	6	6
F_603	6	6	6
F_604	6	6	6
F_605	6	6	6
F_606	12	12	12
F_607	6	6	6
F_608	12	12	12
F_609	6	6	6
F_610	12	12	12
F_611	6	6	6
F_612	12	12	12
F_613	6	6	6
F_614	12	12	12
F_615	6	6	6
F_616	12	12	12
F_617	6	6	6
F_618	12	12	12
F_619	6	6	6
F_620	6	6	6
F_621	6	6	6
F_622	6	6	6
F_623	6	6	6
F_624	6	6	6
F_625	6	6	6
F_626	12	12	12
F_627	6	6	6
F_628	12	12	12
F_629	6	6	6
F_630	6	6	6
F_631	12	12	12
F_632	6	6	6
F_633	6	6	6
F_634	6	6	6
F_635	6	6	6
F_636	12	12	12
F_637	6	6	6
F_638	6	6	6
F_639	12	12	12
F_640	6	6	6
F_641	9	9	9
F_642	9	9	9
F_643	9	9	9
F_644	9	9	9
F_645	9	9	9
F_646	24	24	144
F_647	24	24	72
F_648	9	9	9
F_649	3	3	3
F_650	9	9	9
F_651	9	9	9
F_652	9	9	9
F_653	3	3	3
F_654	9	9	9
F_655	9	9	9
F_656	9	9	9
F_657	9	9	9
F_658	9	9	9
F_659	9	9	9
F_660	9	9	9
F_661	9	9	9
F_662	9	9	9
F_663	9	9	9
F_664	9	9	9
F_665	9	9	9
F_666	9	9	9
F_667	9	9	9
F_668	9	9	9
F_669	9	9	9
F_670	9	9	9
F_671	9	9	9
F_672	9	9	9
F_673	9	9	9
F_674	9	9	9
F_675	18	18	18
F_676	18	18	18
F_677	18	18	18
F_678	4	4	4
F_679	4	4	4
F_680	8	8	8
